,serialNumber,stage
540,20UPBGT0000542,QC1
541,20UPBGT0000543,QC1
542,20UPBGT0000544,QC1
543,20UPBGT0000545,QC1
544,20UPBGT0000546,QC1
545,20UPBGT0000547,QC1
546,20UPBGT0000548,QC1
547,20UPBGT0000549,QC1
548,20UPBGT0000550,QC1
549,20UPBGT0000551,QC1
550,20UPBGT0000552,QC1
551,20UPBGT0000553,QC1
552,20UPBGT0000554,QC1
553,20UPBGT0000555,QC1
554,20UPBGT0000556,QC1
555,20UPBGT0000557,QC1
556,20UPBGT0000558,QC1
557,20UPBGT0000559,QC1
558,20UPBGT0000560,QC1
559,20UPBGT0000561,QC1
560,20UPBGT0000562,QC1
561,20UPBGT0000563,QC1
562,20UPBGT0000564,QC1
563,20UPBGT0000565,QC1
564,20UPBGT0000566,QC1
565,20UPBGT0000567,QC1
566,20UPBGT0000568,QC1
567,20UPBGT0000569,QC1
568,20UPBGT0000570,QC1
569,20UPBGT0000571,QC1
570,20UPBGT0000572,QC1
571,20UPBGT0000573,QC1
572,20UPBGT0000574,QC1
573,20UPBGT0000575,QC1
574,20UPBGT0000576,QC1
575,20UPBGT0000577,QC1
576,20UPBGT0000578,QC1
577,20UPBGT0000579,QC1
578,20UPBGT0000580,QC1
579,20UPBGT0000581,QC1
580,20UPBGT0000582,QC1
581,20UPBGT0000583,QC1
582,20UPBGT0000584,QC1
583,20UPBGT0000585,QC1
